arfcn;name;uplink;downlink
558;GSM-1900;1859.4;1939.4
559;GSM-1900;1859.6;1939.6
560;GSM-1900;1859.8;1939.8
561;GSM-1900;1860;1940
562;GSM-1900;1860.2;1940.2
563;GSM-1900;1860.4;1940.4
564;GSM-1900;1860.6;1940.6
565;GSM-1900;1860.8;1940.8
566;GSM-1900;1861;1941
567;GSM-1900;1861.2;1941.2
568;GSM-1900;1861.4;1941.4
569;GSM-1900;1861.6;1941.6
570;GSM-1900;1861.8;1941.8
571;GSM-1900;1862;1942
572;GSM-1900;1862.2;1942.2
573;GSM-1900;1862.4;1942.4
574;GSM-1900;1862.6;1942.6
575;GSM-1900;1862.8;1942.8
576;GSM-1900;1863;1943
577;GSM-1900;1863.2;1943.2
578;GSM-1900;1863.4;1943.4
579;GSM-1900;1863.6;1943.6
580;GSM-1900;1863.8;1943.8
581;GSM-1900;1864;1944
582;GSM-1900;1864.2;1944.2
583;GSM-1900;1864.4;1944.4
584;GSM-1900;1864.6;1944.6
585;GSM-1900;1864.8;1944.8
586;GSM-1900;1865;1945
587;GSM-1900;1865.2;1945.2
588;GSM-1900;1865.4;1945.4
589;GSM-1900;1865.6;1945.6
590;GSM-1900;1865.8;1945.8
591;GSM-1900;1866;1946
592;GSM-1900;1866.2;1946.2
593;GSM-1900;1866.4;1946.4
594;GSM-1900;1866.6;1946.6
595;GSM-1900;1866.8;1946.8
596;GSM-1900;1867;1947
597;GSM-1900;1867.2;1947.2
598;GSM-1900;1867.4;1947.4
599;GSM-1900;1867.6;1947.6
600;GSM-1900;1867.8;1947.8
601;GSM-1900;1868;1948
602;GSM-1900;1868.2;1948.2
603;GSM-1900;1868.4;1948.4
604;GSM-1900;1868.6;1948.6
605;GSM-1900;1868.8;1948.8
606;GSM-1900;1869;1949
607;GSM-1900;1869.2;1949.2
608;GSM-1900;1869.4;1949.4
609;GSM-1900;1869.6;1949.6
610;GSM-1900;1869.8;1949.8
611;GSM-1900;1870;1950
612;GSM-1900;1870.2;1950.2
613;GSM-1900;1870.4;1950.4
614;GSM-1900;1870.6;1950.6
615;GSM-1900;1870.8;1950.8
616;GSM-1900;1871;1951
617;GSM-1900;1871.2;1951.2
618;GSM-1900;1871.4;1951.4
619;GSM-1900;1871.6;1951.6
620;GSM-1900;1871.8;1951.8
621;GSM-1900;1872;1952
622;GSM-1900;1872.2;1952.2
623;GSM-1900;1872.4;1952.4
624;GSM-1900;1872.6;1952.6
625;GSM-1900;1872.8;1952.8
626;GSM-1900;1873;1953
627;GSM-1900;1873.2;1953.2
628;GSM-1900;1873.4;1953.4
629;GSM-1900;1873.6;1953.6
630;GSM-1900;1873.8;1953.8
631;GSM-1900;1874;1954
632;GSM-1900;1874.2;1954.2
633;GSM-1900;1874.4;1954.4
634;GSM-1900;1874.6;1954.6
635;GSM-1900;1874.8;1954.8
636;GSM-1900;1875;1955
637;GSM-1900;1875.2;1955.2
638;GSM-1900;1875.4;1955.4
639;GSM-1900;1875.6;1955.6
640;GSM-1900;1875.8;1955.8
641;GSM-1900;1876;1956
642;GSM-1900;1876.2;1956.2
643;GSM-1900;1876.4;1956.4
644;GSM-1900;1876.6;1956.6
645;GSM-1900;1876.8;1956.8
646;GSM-1900;1877;1957
647;GSM-1900;1877.2;1957.2
648;GSM-1900;1877.4;1957.4
649;GSM-1900;1877.6;1957.6
650;GSM-1900;1877.8;1957.8
651;GSM-1900;1878;1958
652;GSM-1900;1878.2;1958.2
653;GSM-1900;1878.4;1958.4
654;GSM-1900;1878.6;1958.6
655;GSM-1900;1878.8;1958.8
656;GSM-1900;1879;1959
657;GSM-1900;1879.2;1959.2
658;GSM-1900;1879.4;1959.4
659;GSM-1900;1879.6;1959.6
660;GSM-1900;1879.8;1959.8
661;GSM-1900;1880;1960
662;GSM-1900;1880.2;1960.2
663;GSM-1900;1880.4;1960.4
664;GSM-1900;1880.6;1960.6
665;GSM-1900;1880.8;1960.8
666;GSM-1900;1881;1961
667;GSM-1900;1881.2;1961.2
668;GSM-1900;1881.4;1961.4
669;GSM-1900;1881.6;1961.6
670;GSM-1900;1881.8;1961.8
671;GSM-1900;1882;1962
672;GSM-1900;1882.2;1962.2
673;GSM-1900;1882.4;1962.4
674;GSM-1900;1882.6;1962.6
675;GSM-1900;1882.8;1962.8
676;GSM-1900;1883;1963
677;GSM-1900;1883.2;1963.2
678;GSM-1900;1883.4;1963.4
679;GSM-1900;1883.6;1963.6
680;GSM-1900;1883.8;1963.8
681;GSM-1900;1884;1964
682;GSM-1900;1884.2;1964.2
683;GSM-1900;1884.4;1964.4
684;GSM-1900;1884.6;1964.6
685;GSM-1900;1884.8;1964.8
686;GSM-1900;1885;1965
687;GSM-1900;1885.2;1965.2
688;GSM-1900;1885.4;1965.4
689;GSM-1900;1885.6;1965.6
690;GSM-1900;1885.8;1965.8
691;GSM-1900;1886;1966
692;GSM-1900;1886.2;1966.2
693;GSM-1900;1886.4;1966.4
694;GSM-1900;1886.6;1966.6
695;GSM-1900;1886.8;1966.8
696;GSM-1900;1887;1967
697;GSM-1900;1887.2;1967.2
698;GSM-1900;1887.4;1967.4
699;GSM-1900;1887.6;1967.6
700;GSM-1900;1887.8;1967.8
701;GSM-1900;1888;1968
702;GSM-1900;1888.2;1968.2
703;GSM-1900;1888.4;1968.4
704;GSM-1900;1888.6;1968.6
705;GSM-1900;1888.8;1968.8
706;GSM-1900;1889;1969
707;GSM-1900;1889.2;1969.2
708;GSM-1900;1889.4;1969.4
709;GSM-1900;1889.6;1969.6
710;GSM-1900;1889.8;1969.8
711;GSM-1900;1890;1970
712;GSM-1900;1890.2;1970.2
713;GSM-1900;1890.4;1970.4
714;GSM-1900;1890.6;1970.6
715;GSM-1900;1890.8;1970.8
716;GSM-1900;1891;1971
717;GSM-1900;1891.2;1971.2
718;GSM-1900;1891.4;1971.4
719;GSM-1900;1891.6;1971.6
720;GSM-1900;1891.8;1971.8
721;GSM-1900;1892;1972
722;GSM-1900;1892.2;1972.2
723;GSM-1900;1892.4;1972.4
724;GSM-1900;1892.6;1972.6
725;GSM-1900;1892.8;1972.8
726;GSM-1900;1893;1973
727;GSM-1900;1893.2;1973.2
728;GSM-1900;1893.4;1973.4
729;GSM-1900;1893.6;1973.6
730;GSM-1900;1893.8;1973.8
731;GSM-1900;1894;1974
732;GSM-1900;1894.2;1974.2
733;GSM-1900;1894.4;1974.4
734;GSM-1900;1894.6;1974.6
735;GSM-1900;1894.8;1974.8
736;GSM-1900;1895;1975
737;GSM-1900;1895.2;1975.2
738;GSM-1900;1895.4;1975.4
739;GSM-1900;1895.6;1975.6
740;GSM-1900;1895.8;1975.8
741;GSM-1900;1896;1976
742;GSM-1900;1896.2;1976.2
743;GSM-1900;1896.4;1976.4
744;GSM-1900;1896.6;1976.6
745;GSM-1900;1896.8;1976.8
746;GSM-1900;1897;1977
747;GSM-1900;1897.2;1977.2
748;GSM-1900;1897.4;1977.4
749;GSM-1900;1897.6;1977.6
750;GSM-1900;1897.8;1977.8
751;GSM-1900;1898;1978
752;GSM-1900;1898.2;1978.2
753;GSM-1900;1898.4;1978.4
754;GSM-1900;1898.6;1978.6
755;GSM-1900;1898.8;1978.8
756;GSM-1900;1899;1979
757;GSM-1900;1899.2;1979.2
758;GSM-1900;1899.4;1979.4
759;GSM-1900;1899.6;1979.6
760;GSM-1900;1899.8;1979.8
761;GSM-1900;1900;1980
762;GSM-1900;1900.2;1980.2
763;GSM-1900;1900.4;1980.4
764;GSM-1900;1900.6;1980.6
765;GSM-1900;1900.8;1980.8
766;GSM-1900;1901;1981
767;GSM-1900;1901.2;1981.2
768;GSM-1900;1901.4;1981.4
